LOCAL_DATE,DIRECTION_MAX_GUST,SPEED_MAX_GUST,SNOW_ON_GROUND,TOTAL_PRECIPITATION,HEATING_DEGREE_DAYS,COOLING_DEGREE_DAYS,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,MAX_TEMPERATURE,MEAN_TEMPERATURE,MIN_TEMPERATURE,PARAM,Value,SYM,Year,Month,Day
4/10/1994,18,32,,0,12.7,0,,,14.1,5.3,-3.6,1,16.6,,1994,4,10
4/11/1994,19,46,,0,9,0,,,14.7,9,3.3,1,17.9,,1994,4,11
4/12/1994,13,37,,5.8,11.1,0,,,10.6,6.9,3.1,1,20.9,,1994,4,12
4/13/1994,24,43,,1.8,16.9,0,,,5.6,1.1,-3.4,1,23.4,,1994,4,13
4/14/1994,,,,0,18.1,0,,,4.6,-0.1,-4.7,1,20.2,,1994,4,14
4/15/1994,31,39,,0,10.5,0,,,13.5,7.5,1.5,1,18.7,,1994,4,15
4/16/1994,16,35,,0,6.2,0,,,18,11.8,5.5,1,19.5,,1994,4,16
4/17/1994,29,37,,0,7.7,0,,,16.2,10.3,4.4,1,24.3,,1994,4,17
4/18/1994,,,,0,11.7,0,,,16.8,6.3,-4.3,1,28.1,,1994,4,18
4/19/1994,,,,0.4,11.8,0,,,15.5,6.2,-3.2,1,30.1,,1994,4,19
4/20/1994,,,,0,8.1,0,,,19.1,9.9,0.6,1,32.6,,1994,4,20
4/21/1994,17,32,,0,10.7,0,,,17.7,7.3,-3.1,1,37.5,,1994,4,21
4/22/1994,25,32,,0,9.7,0,,,15.4,8.3,1.1,1,42,,1994,4,22
4/23/1994,36,43,,0,12.5,0,,,15.9,5.5,-4.9,1,45.1,,1994,4,23
4/24/1994,32,54,,0,14.9,0,,,6.4,3.1,-0.2,1,44.6,,1994,4,24
4/25/1994,33,46,,0,16.5,0,,,4,1.5,-1,1,42.5,,1994,4,25
4/26/1994,34,43,,0,12.9,0,,,10.6,5.1,-0.4,1,39.5,,1994,4,26
4/27/1994,34,43,,0,15,0,,,9,3,-3,1,37,,1994,4,27
4/28/1994,,,,0,14.1,0,,,15.5,3.9,-7.7,1,34.4,,1994,4,28
4/29/1994,,,,0,11.6,0,,,15.9,6.4,-3.2,1,33.9,,1994,4,29
4/30/1994,,,,0,11.6,0,,,15,6.4,-2.3,1,35.7,,1994,4,30
5/1/1994,36,33,,4,9.4,0,,,13,8.6,4.2,1,38.7,,1994,5,1
5/2/1994,,,,0.2,10.3,0,,,11.8,7.7,3.5,1,42.8,,1994,5,2
5/3/1994,,,,0,10.9,0,,,14.3,7.1,-0.2,1,41.6,,1994,5,3
5/4/1994,,,,0,13.2,0,,,16,4.8,-6.5,1,40,,1994,5,4
5/5/1994,20,37,,1.6,8.7,0,,,16.5,9.3,2.1,1,40.5,,1994,5,5
5/6/1994,23,33,,0,6.6,0,,,22.9,11.4,-0.1,1,43.9,,1994,5,6
5/7/1994,23,41,,0,6.3,0,,,20.1,11.7,3.3,1,60.5,,1994,5,7
5/8/1994,,,,0,8,0,,,23.3,10,-3.4,1,90.2,,1994,5,8
5/9/1994,23,37,,0,6.1,0,,,23,11.9,0.7,1,109,,1994,5,9
5/10/1994,,,,0,5.8,0,,,15.6,12.2,8.8,1,146,,1994,5,10
5/11/1994,20,35,,0,4.5,0,,,22.4,13.5,4.5,1,166,,1994,5,11
5/12/1994,,,,0.4,8.7,0,,,14.9,9.3,3.6,1,206,,1994,5,12
5/13/1994,27,35,,1.8,10.3,0,,,12.8,7.7,2.6,1,197,,1994,5,13
5/14/1994,,,,0,11.4,0,,,15.1,6.6,-1.9,1,152,,1994,5,14
5/15/1994,33,46,,0,9.9,0,,,16,8.1,0.2,1,128,,1994,5,15
5/16/1994,,,,9.8,11.8,0,,,9,6.2,3.4,1,126,,1994,5,16
5/17/1994,35,37,,2.3,10.4,0,,,11.4,7.6,3.8,1,122,,1994,5,17
5/18/1994,36,32,,0,11.2,0,,,9.2,6.8,4.4,1,112,,1994,5,18
5/19/1994,33,46,,0,12,0,,,14.8,6,-2.9,1,100,,1994,5,19
5/20/1994,35,44,,0,9.1,0,,,11.7,8.9,6,1,97.3,,1994,5,20
5/21/1994,35,39,,5.6,10.3,0,,,10.7,7.7,4.6,1,103,,1994,5,21
5/22/1994,,,,0.2,7.8,0,,,17.1,10.2,3.3,1,111,,1994,5,22
5/23/1994,,,,0,4.9,0,,,19.7,13.1,6.5,1,120,,1994,5,23
5/24/1994,,,,0,5,0,,,22.6,13,3.4,1,146,,1994,5,24
5/25/1994,26,43,,0,5.3,0,,,22.9,12.7,2.5,1,188,,1994,5,25
5/26/1994,18,32,,0,5.8,0,,,21.4,12.2,2.9,1,224,,1994,5,26
5/27/1994,24,33,,6.1,10.2,0,,,13.4,7.8,2.2,1,245,,1994,5,27
5/28/1994,18,37,,0,11.3,0,,,15.1,6.7,-1.7,1,199,,1994,5,28
5/29/1994,15,33,,0,9.6,0,,,14.1,8.4,2.6,1,155,,1994,5,29
5/30/1994,,,,0,8.3,0,,,15.8,9.7,3.5,1,129,,1994,5,30
5/31/1994,,,,0,7.2,0,,,24.8,10.8,-3.2,1,114,,1994,5,31
6/1/1994,24,32,,0,5.2,0,,,17,12.8,8.6,1,123,,1994,6,1
6/2/1994,,,,0,8.7,0,,,20.9,9.3,-2.3,1,132,,1994,6,2
6/3/1994,23,35,,0,4.7,0,,,23.6,13.3,2.9,1,150,,1994,6,3
6/4/1994,34,41,,6,7.2,0,,,22.2,10.8,-0.7,1,180,,1994,6,4
6/5/1994,,,,3.6,3.9,0,,,20.7,14.1,7.4,1,226,,1994,6,5
6/6/1994,,,,0.6,6,0,,,18.5,12,5.5,1,251,,1994,6,6
6/7/1994,,,,7.2,6.8,0,,,15.1,11.2,7.2,1,272,,1994,6,7
6/8/1994,,,,16.8,10.9,0,,,9.8,7.1,4.4,1,263,,1994,6,8
6/9/1994,31,44,,0.4,6.6,0,,,17.2,11.4,5.5,1,218,,1994,6,9
6/10/1994,,,,0,5.7,0,,,20,12.3,4.5,1,184,,1994,6,10
6/11/1994,,,,0,6.7,0,,,17.1,11.3,5.4,1,183,,1994,6,11
6/12/1994,20,32,,0.4,4.9,0,,,20.6,13.1,5.5,1,187,,1994,6,12
6/13/1994,25,41,,3.4,7.1,0,,,16.9,10.9,4.9,1,220,,1994,6,13
6/14/1994,,,,7.4,12.7,0,,,6.7,5.3,3.8,1,240,,1994,6,14
6/15/1994,,,,0.4,10.3,0,,,11.8,7.7,3.5,1,193,,1994,6,15
6/16/1994,,,,0,11.4,0,,,15.6,6.6,-2.4,1,155,,1994,6,16
6/17/1994,,,,0,7.4,0,,,18.7,10.6,2.5,1,136,,1994,6,17
6/18/1994,34,41,,0.8,6.8,0,,,22,11.2,0.4,1,136,,1994,6,18
6/19/1994,,,,30.3,7.3,0,,,17,10.7,4.3,1,159,,1994,6,19
6/20/1994,21,33,,0,7.4,0,,,20.7,10.6,0.4,1,160,,1994,6,20
6/21/1994,,,,0,5.3,0,,,23.95,12.7,1.4,1,166,,1994,6,21
6/22/1994,22,32,,0,3.2,0,,,27.2,14.8,2.4,1,210,,1994,6,22
6/23/1994,,,,0,2.2,0,,,27.5,15.8,4.1,1,274,,1994,6,23
6/24/1994,22,32,,5.2,4.6,0,,,21.5,13.4,5.2,1,317,,1994,6,24
6/25/1994,,,,0,1.4,0,,,23.5,16.6,9.6,1,299,,1994,6,25
6/26/1994,22,39,,0,5.1,0,,,21.7,12.9,4,1,307,,1994,6,26
6/27/1994,22,39,,0,3.8,0,,,23.3,14.2,5,1,285,,1994,6,27
6/28/1994,36,33,,2.4,2.5,0,,,21.3,15.5,9.7,1,289,,1994,6,28
6/29/1994,27,32,,5.4,4.5,0,,,18.4,13.5,8.6,1,333,,1994,6,29
6/30/1994,,,,4.628571429,4.371428571,0,,,18.72857143,13.62857143,5.8,1,322,,1994,6,30
7/1/1994,,,,3.857142857,4.242857143,0,,,19.05714286,13.75714286,6.166666667,1,286,,1994,7,1
7/2/1994,,,,3.085714286,4.114285714,0,,,19.38571429,13.88571429,6.533333333,1,330,,1994,7,2
7/3/1994,,,,2.314285714,3.985714286,0,,,19.71428571,14.01428571,6.9,1,266,,1994,7,3
7/4/1994,,,,1.542857143,3.857142857,0,,,20.04285714,14.14285714,7.266666667,1,226,,1994,7,4
7/5/1994,,,,0.771428571,3.728571429,0,,,20.37142857,14.27142857,7.633333333,1,198,,1994,7,5
7/6/1994,29,32,,0,3.6,0,,,20.7,14.4,8,1,193,,1994,7,6
7/7/1994,,,,0.1,2.3,0,,,22.9,15.7,8.1,1,194,,1994,7,7
7/8/1994,,,,0.2,1,0,,,25.1,17,8.8,1,238,,1994,7,8
7/9/1994,,,,0,2,0,,,22.6,16,9.3,1,266,,1994,7,9
7/10/1994,,,,0,4,0,,,22.7,14,5.3,1,243,,1994,7,10
7/11/1994,23,39,,1.8,4,0,,,18.2,14,9.7,1,214,,1994,7,11
7/12/1994,,,,0,5.2,0,,,20.9,12.8,4.6,1,197,,1994,7,12
7/13/1994,36,32,,0,3.5,0,,,24.8,14.5,4.1,1,188,,1994,7,13
7/14/1994,35,39,,0,4.4,0,,,23.6,13.6,3.5,1,199,,1994,7,14
7/15/1994,,,,0,1,0,,,25,17,8.9,1,215,,1994,7,15
7/16/1994,,,,0.266666667,1.166666667,0,,,23.63333333,16.83333333,9.933333333,1,231,,1994,7,16
7/17/1994,,,,0.533333333,1.333333333,0,,,22.26666667,16.66666667,10.96666667,1,253,,1994,7,17
7/18/1994,23,41,,0.8,1.5,0,,,20.9,16.5,12,1,283,,1994,7,18
7/19/1994,21,32,,0,0,1.1,,,25.6,19.1,12.6,1,276,,1994,7,19
7/20/1994,,,,0,0,1.55,,,28.55,19.55,10.5,1,263,,1994,7,20
7/21/1994,36,37,,0,0,2,,,31.5,20,8.4,1,275,,1994,7,21
7/22/1994,35,32,,0,0,4,,,30.6,22,13.4,1,311,,1994,7,22
7/23/1994,,,,0,0,3.45,,,31.9,21.45,11,1,298,,1994,7,23
7/24/1994,1,37,,0,0,2.9,,,33.2,20.9,8.6,1,288,,1994,7,24
7/25/1994,10,37,,2.8,0,2.7,,,32.4,20.7,9,1,294,,1994,7,25
7/26/1994,27,37,,2.4,0,1.7,,,28.8,19.7,10.5,1,328,,1994,7,26
7/27/1994,,,,0,0,0.1,,,30.4,18.1,5.7,1,327,,1994,7,27
7/28/1994,1,33,,0,0,2.2,,,31.6,20.2,8.7,1,295,,1994,7,28
7/29/1994,20,32,,0,0,2.3,,,32.8,20.3,7.7,1,276,,1994,7,29
7/30/1994,22,35,,0,0,0.7,,,31.7,18.7,5.7,1,274,,1994,7,30
7/31/1994,21,33,,0,0,0.5,,,29.3,18.5,7.6,1,269,,1994,7,31
8/1/1994,34,35,,0,0,1.1,,,31.2,19.1,6.9,1,246,,1994,8,1
8/2/1994,35,35,,0,0,1.8,,,32.7,19.8,6.8,1,243,,1994,8,2
8/3/1994,14,41,,1.4,0,3.6,,,30.9,21.6,12.3,1,245,,1994,8,3
8/4/1994,,,,1.066666667,1.233333333,2.4,,,27.66666667,19.16666667,10.66666667,1,281,,1994,8,4
8/5/1994,,,,0.733333333,2.466666667,1.2,,,24.43333333,16.73333333,9.033333333,1,270,,1994,8,5
8/6/1994,2,35,,0.4,3.7,0,,,21.2,14.3,7.4,1,264,,1994,8,6
8/7/1994,33,46,,0.6,3.5,0,,,19.1,14.5,9.8,1,227,,1994,8,7
8/8/1994,1,44,,4.6,6.7,0,,,14.6,11.3,7.9,1,212,,1994,8,8
8/9/1994,,,,0.6,7.5,0,,,15.8,10.5,5.2,1,216,,1994,8,9
8/10/1994,,,,0,5,0,,,22.5,13,3.5,1,189,,1994,8,10
8/11/1994,,,,0,2,0,,,25.9,16,6.1,1,170,,1994,8,11
8/12/1994,35,32,,0,3.2,0,,,27,14.8,2.6,1,174,,1994,8,12
8/13/1994,,,,0,0,0.3,,,31.4,18.3,5.1,1,177,,1994,8,13
8/14/1994,,,,1.8,1.05,0.15,,,27.2,17.1,6.95,1,190,,1994,8,14
8/15/1994,32,43,,3.6,2.1,0,,,23,15.9,8.8,1,203,,1994,8,15
8/16/1994,35,39,,3.4,3.5,0,,,21.4,14.5,7.6,1,198,,1994,8,16
8/17/1994,,,,37.2,6.7,0,,,13.2,11.3,9.3,1,212,,1994,8,17
8/18/1994,,,,0,2.1,0,,,24.4,15.9,7.4,1,190,,1994,8,18
8/19/1994,,,,0,1.5,0,,,29.1,16.5,3.8,1,179,,1994,8,19
8/20/1994,,,,0,0.9,0,,,28.5,17.1,5.6,1,183,,1994,8,20
8/21/1994,20,46,,0,5.9,0,,,20.8,12.1,3.4,1,187,,1994,8,21
8/22/1994,28,39,,0.6,5.6,0,,,17.7,12.4,7.1,1,167,,1994,8,22
8/23/1994,,,,3.6,6.8,0,,,16.3,11.2,6,1,187,,1994,8,23
8/24/1994,,,,0,8.9,0,,,17.5,9.1,0.6,1,150,,1994,8,24
8/25/1994,34,35,,0,8,0,,,18.1,10,1.8,1,125,,1994,8,25
8/26/1994,34,35,,0,7.1,0,,,17.7,10.9,4,1,118,,1994,8,26
8/27/1994,,,,0,7.4,0,,,22.7,10.6,-1.5,1,106,,1994,8,27
8/28/1994,,,,0,5.2,0,,,24.7,12.8,0.8,1,103,,1994,8,28
8/29/1994,,,,0.2,7.8,0,,,17.3,10.2,3,1,106,,1994,8,29
8/30/1994,2,41,,0,6.4,0,,,17.6,11.6,5.5,1,105,,1994,8,30
8/31/1994,35,33,,0,6.9,0,,,20.8,11.1,1.3,1,107,,1994,8,31
9/1/1994,,,,0,7.2,0,,,21,10.8,0.6,1,114,,1994,9,1
9/2/1994,,,,0,5.1,0,,,21.2,12.9,4.5,1,112,,1994,9,2
9/3/1994,,,,0.4,8.3,0,,,14.5,9.7,4.8,1,112,,1994,9,3
9/4/1994,23,35,,0,4.9,0,,,18.6,13.1,7.5,1,105,,1994,9,4
9/5/1994,,,,0,6.1,0,,,21.5,11.9,2.3,1,96.5,,1994,9,5
9/6/1994,17,35,,0,4.6,0,,,25.2,13.4,1.5,1,93.9,,1994,9,6
9/7/1994,,,,0,4.4,0,,,23.9,13.6,3.3,1,102,,1994,9,7
9/8/1994,22,44,,2,6,0,,,20.3,12,3.7,1,108,,1994,9,8
9/9/1994,,,,0,8.3,0,,,15.9,9.7,3.4,1,126,,1994,9,9
9/10/1994,,,,0.4,8.2,0,,,16.9,9.8,2.7,1,105,,1994,9,10
9/11/1994,,,,2.6,12,0,,,13.3,6,-1.3,1,88.3,,1994,9,11
9/12/1994,,,,0,9.3,0,,,15.3,8.7,2,1,78.6,,1994,9,12
9/13/1994,,,,0,5.1,0,,,20.6,12.9,5.1,1,71.1,,1994,9,13
9/14/1994,,,,1,5.2,0,,,18.5,12.8,7.1,1,77.1,,1994,9,14
9/15/1994,,,,0,4.1,0,,,20.8,13.9,7,1,91.3,,1994,9,15
9/16/1994,,,,0,2.5,0,,,25.4,15.5,5.6,1,89.6,,1994,9,16
9/17/1994,,,,0,2.7,0,,,27.5,15.3,3,1,96.5,,1994,9,17
9/18/1994,,,,0,3.9,0,,,25.3,14.1,2.9,1,102,,1994,9,18
9/19/1994,1,39,,0,5.1,0,,,25,12.9,0.7,1,103,,1994,9,19
9/20/1994,34,39,,0,9.3,0,,,16.6,8.7,0.7,1,101,,1994,9,20
9/21/1994,,,,0,8.8,0,,,21.7,9.2,-3.3,1,93.2,,1994,9,21
9/22/1994,18,35,,0,4.2,0,,,26.5,13.8,1.1,1,85.5,,1994,9,22
9/23/1994,,,,0,4.6,0,,,22.9,13.4,3.8,1,95,,1994,9,23
9/24/1994,,,,0,1.6,0,,,26.8,16.4,6,1,93.2,,1994,9,24
9/25/1994,23,35,,0,4.9,0,,,24.7,13.1,1.4,1,100,,1994,9,25
9/26/1994,,,,0,6.6,0,,,20,11.4,2.8,1,97.6,,1994,9,26
9/27/1994,30,43,,0,1.5,0,,,23.3,16.5,9.7,1,84.8,,1994,9,27
9/28/1994,,,,1.6,6.8,0,,,14.5,11.2,7.9,1,94.9,,1994,9,28
9/29/1994,,,,3.5,10.45,0,,,10.25,7.55,4.85,1,97.9,,1994,9,29
9/30/1994,,,,5.4,14.1,0,,,6,3.9,1.8,1,122,,1994,9,30
10/1/1994,2,33,,8.6,11.6,0,,,10.7,6.4,2.1,1,161,,1994,10,1
10/2/1994,34,32,,1,16.5,0,,,4.7,1.5,-1.7,1,145,,1994,10,2
10/3/1994,,,,0,13.8,0,,,12.1,4.2,-3.8,1,102,,1994,10,3
10/4/1994,,,,0.2,9.7,0,,,19.2,8.3,-2.6,1,86.5,,1994,10,4
10/5/1994,23,32,,0,11.9,0,,,14.9,6.1,-2.7,1,80.2,,1994,10,5
10/6/1994,27,35,,0.2,15.1,0,,,9.9,2.9,-4.2,1,73.5,,1994,10,6
10/7/1994,28,32,,0,10.5,0,,,14.1,7.5,0.8,1,66,,1994,10,7
10/8/1994,,,,0,13.7,0,,,11.8,4.3,-3.3,1,60,,1994,10,8
10/9/1994,20,39,,0.2,7.2,0,,,16.9,10.8,4.7,1,55.9,,1994,10,9
10/10/1994,,,,4.5,14.1,0,,,11.2,3.9,-3.5,1,56.8,,1994,10,10
10/11/1994,,,,0,15.9,0,,,11.5,2.1,-7.3,1,54.7,,1994,10,11
10/12/1994,,,,0.2,14.7,0,,,13.9,3.3,-7.3,1,49.3,,1994,10,12
10/13/1994,,,,0,15.1,0,,,9.4,2.9,-3.7,1,47.1,,1994,10,13
10/14/1994,36,43,,0,17,0,,,5,1,-3.1,1,45.3,,1994,10,14
10/15/1994,,,,0,16.3,0,,,7.1,1.7,-3.7,1,43.8,,1994,10,15
10/16/1994,,,,0.2,14.1,0,,,13.8,3.9,-6,1,41.3,,1994,10,16
10/17/1994,,,,0,15.6,0,,,9.9,2.4,-5.1,1,40.4,,1994,10,17
10/18/1994,,,,0,14.8,0,,,9.7,3.2,-3.3,1,39,,1994,10,18
10/19/1994,,,,1.4,15,0,,,8.3,3,-2.3,1,38.2,,1994,10,19
10/20/1994,18,32,,1,12.7,0,,,8.9,5.3,1.7,1,37.3,,1994,10,20
10/21/1994,,,,3.1,15.6,0,,,4.7,2.4,0,1,38.4,,1994,10,21
10/22/1994,,,,0,16,0,,,6,2,-2,1,36.4,,1994,10,22
10/23/1994,,,,0,15.8,0,,,8.8,2.2,-4.4,1,33.9,,1994,10,23
10/24/1994,,,,0,16.1,0,,,11.2,1.9,-7.5,1,31.8,,1994,10,24
10/25/1994,15,46,,0,11.2,0,,,16.8,6.8,-3.2,1,31.7,,1994,10,25
10/26/1994,28,50,,2.4,11,0,,,11.1,7,2.8,1,32.7,,1994,10,26
10/27/1994,,,,0.6,14,0,,,9,4,-1,1,34.6,,1994,10,27
10/28/1994,,,,0,15.4,0,,,6.5,2.6,-1.3,1,32.5,,1994,10,28
10/29/1994,,,,0,17.9,0,,,5.9,0.1,-5.7,1,30.3,,1994,10,29
10/30/1994,,,,0,18.8,0,,,4,-0.8,-5.5,1,27.8,B,1994,10,30
10/31/1994,,,,0.8,20.9,0,,,0.85,-2.9,-5.1,1,27.5,B,1994,10,31
11/1/1994,4,35,,1.6,23,0,,,-2.3,-5,-7.6,1,26.5,B,1994,11,1
11/2/1994,,,,0,26.7,0,,,-1.3,-8.7,-16.1,1,22.1,B,1994,11,2
11/3/1994,,,,0,24.9,0,,,-0.5,-6.9,-13.2,1,19.3,B,1994,11,3
11/4/1994,,,,0,19.7,0,,,3.1,-1.7,-6.5,1,22.5,B,1994,11,4
11/5/1994,,,,0,23.4,0,,,2.6,-5.4,-13.3,1,21.8,B,1994,11,5
11/6/1994,,,,0,24.3,0,,,0,-6.3,-12.6,1,21,B,1994,11,6
11/7/1994,,,,0,21.3,0,,,2,-3.3,-8.6,1,22,B,1994,11,7
11/8/1994,20,33,,0,16.6,0,,,6.8,1.4,-4,1,22.9,B,1994,11,8
11/9/1994,,,,0,17.4,0,,,6.1,0.6,-5,1,23.4,B,1994,11,9
11/10/1994,,,,0,17.1,0,,,4.2,0.9,-2.4,1,23.3,B,1994,11,10
11/11/1994,21,39,,0,16.7,0,,,6,1.3,-3.5,1,22.5,B,1994,11,11
11/12/1994,21,33,,0,18.3,0,,,3.8,-0.3,-4.4,1,22.4,B,1994,11,12
11/13/1994,,,,0,19.1,0,,,4.8,-1.1,-6.9,1,21.1,B,1994,11,13
11/14/1994,,,,0,17.4,0,,,3.5,0.6,-2.4,1,20.5,B,1994,11,14
11/15/1994,,,,0,17.6,0,,,4.8,0.4,-4,1,21.6,B,1994,11,15
11/16/1994,35,44,,0.6,22.4,0,,,-2.5,-4.4,-6.2,1,20.8,B,1994,11,16
11/17/1994,35,43,,0,28.4,0,,,-5,-10.4,-15.7,1,18.6,B,1994,11,17
11/18/1994,,,,0,27.1,0,,,-2.9,-9.1,-15.2,1,15.6,B,1994,11,18
11/19/1994,18,32,,0,19.6,0,,,0.4,-1.6,-3.5,1,18.1,B,1994,11,19
11/20/1994,26,33,,3.9,25.8,0,,,-2.1,-7.8,-13.5,1,19.9,B,1994,11,20
11/21/1994,19,35,,0,28.2,0,,,-3.8,-10.2,-16.6,1,17.5,B,1994,11,21
11/22/1994,19,43,,0,20.7,0,,,2.2,-2.7,-7.6,1,17.1,B,1994,11,22
11/23/1994,18,32,,0.2,21.9,0,,,1.1,-3.9,-8.9,1,18.3,B,1994,11,23
11/24/1994,,,,0,26.6,0,,,-3.2,-8.6,-13.9,1,18.1,B,1994,11,24
11/25/1994,1,37,,0,29.2,0,,,-8.3,-11.2,-14,1,19,B,1994,11,25
11/26/1994,,,,0,29.5,0,,,-5.95,-11.5,-17,1,19.6,B,1994,11,26
11/27/1994,,,,0,29.8,0,,,-3.6,-11.8,-20,1,18.1,B,1994,11,27
11/28/1994,,,,0,23.2,0,,,0.7,-5.2,-11,1,18.4,B,1994,11,28
11/29/1994,,,,0,21.8,0,,,0.5,-3.8,-8,1,18.8,B,1994,11,29
11/30/1994,27,32,,5.2,16.2,0,,,5.1,1.8,-1.6,1,21,B,1994,11,30
12/1/1994,,,,3.466666667,24.23333333,0,,,-2.2,-6.233333333,-10.33333333,1,20.3,B,1994,12,1
12/2/1994,,,,1.733333333,32.26666667,0,,,-9.5,-14.26666667,-19.06666667,1,18.6,B,1994,12,2
12/3/1994,,,,0,40.3,0,,,-16.8,-22.3,-27.8,1,19.3,B,1994,12,3
12/4/1994,,,,0,40.3,0,,,-15.1,-22.3,-29.5,1,17.8,B,1994,12,4
12/5/1994,,,,0,36.8,0,,,-11.3,-18.8,-26.2,1,19,B,1994,12,5
12/6/1994,,,,0.6,31.6,0,,,-5.3,-13.6,-21.9,1,19.3,B,1994,12,6
12/7/1994,,,,0,29.3,0,,,-5.4,-11.3,-17.1,1,20.1,B,1994,12,7
12/8/1994,,,,1.5,23,0,,,-2.5,-5,-7.5,1,21,B,1994,12,8
12/9/1994,,,,0,30.2,0,,,-5.7,-12.2,-18.6,1,21,B,1994,12,9
12/10/1994,,,,0,27.8,0,,,-2.3,-9.8,-17.2,1,18.6,B,1994,12,10
12/11/1994,,,,0,24.1,0,,,-2,-6.1,-10.1,1,18.1,B,1994,12,11
12/12/1994,,,,0,29.6,0,,,-4.3,-11.6,-18.9,1,16.2,B,1994,12,12
12/13/1994,,,,0,29.4,0,,,-6.4,-11.4,-16.3,1,13,B,1994,12,13
12/14/1994,,,,0,29.1,0,,,-5.7,-11.1,-16.5,1,11.4,B,1994,12,14
12/15/1994,,,,0,26.2,0,,,-1.3,-8.2,-15.1,1,12.8,B,1994,12,15
12/16/1994,,,,0.2,24.8,0,,,-2.7,-6.8,-10.8,1,14.9,B,1994,12,16
12/17/1994,,,,0,21.8,0,,,3.3,-3.8,-10.8,1,15.4,B,1994,12,17
12/18/1994,,,,1.6,19.5,0,,,1.9,-1.5,-4.8,1,16.5,B,1994,12,18
12/19/1994,16,33,,0.9,16.1,0,,,8.1,1.9,-4.4,1,15.5,B,1994,12,19
12/20/1994,,,,7.1,16.5,0,,,3.2,1.5,-0.2,1,15.5,B,1994,12,20
12/21/1994,18,32,,0,16,0,,,5.9,2,-2,1,16,B,1994,12,21
12/22/1994,18,37,,0,15.5,0,,,5.8,2.5,-0.9,1,16.3,B,1994,12,22
12/23/1994,,,,0,16.1,0,,,8.1,1.9,-4.3,1,16.7,B,1994,12,23
12/24/1994,,,,0,21.1,0,,,1.7,-3.1,-7.9,1,15,B,1994,12,24
12/25/1994,,,,0,19.4,0,,,4.2,-1.4,-7,1,15.7,B,1994,12,25
12/26/1994,,,,0,18.9,0,,,2,-0.9,-3.7,1,16,B,1994,12,26
12/27/1994,,,,0,22.6,0,,,-1.3,-4.6,-7.8,1,15,B,1994,12,27
12/28/1994,,,,5.1,23.4,0,,,-3.5,-5.4,-7.2,1,14,B,1994,12,28
12/29/1994,,,,0.6,30.9,0,,,-5.8,-12.9,-20,1,13,B,1994,12,29
12/30/1994,,,,0,37.6,0,,,-12.6,-19.6,-26.6,1,11.5,B,1994,12,30
12/31/1994,,,,0,36.7,0,,,-10.8,-18.7,-26.5,1,11,B,1994,12,31
1/1/1995,,,,0,35.3,0,,,-8.7,-17.3,-25.8,1,11,B,1995,1,1
1/2/1995,,,,0,38.6,0,,,-12.4,-20.6,-28.7,1,11.1,B,1995,1,2
1/3/1995,,,,0,36.5,0,,,-10.3,-18.5,-26.7,1,11.3,B,1995,1,3
1/4/1995,,,,0,34.5,0,,,-8.4,-16.5,-24.6,1,11.7,B,1995,1,4
